row_id,Date,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A
7960,17/05/2026,ath bilbao,celta,2.15,3.2,3.4
7961,17/05/2026,osasuna,espanol,2.05,3.1,3.8
7962,17/05/2026,ath madrid,girona,1.72,3.6,4.5
7963,17/05/2026,elche,getafe,2.2,3,3.4
7964,17/05/2026,barcelona,betis,1.33,6,7.5
7965,17/05/2026,levante,mallorca,2.1,3.4,3.3
7966,17/05/2026,vallecano,villarreal,2.35,3.5,2.62
7967,17/05/2026,real oviedo,alaves,3.7,3.6,1.9
7968,17/05/2026,sociedad,valencia,2.15,3.4,3.2
7969,17/05/2026,sevilla,real madrid,3,3.5,2.15
